date,ticker,close,return
2026-05-01,AAPL,279.88214111328125,
2026-05-04,AAPL,276.5751647949219,-0.011815603186417278
2026-05-05,AAPL,283.9184265136719,0.026550690927708454
2026-05-06,AAPL,287.245361328125,0.011717924952267644
2026-05-07,AAPL,287.1754150390625,-0.00024350711440246364
2026-05-08,AAPL,293.0500183105469,0.020456497888878378
2026-05-11,AAPL,292.67999267578125,-0.0012626705737772692
2026-05-12,AAPL,294.79998779296875,0.007243389265544797
2026-05-13,AAPL,298.8699951171875,0.013805995565634221
2026-05-14,AAPL,298.2099914550781,-0.00220833028705536
2026-05-15,AAPL,300.2300109863281,0.0067738157309671365
2026-05-18,AAPL,297.8399963378906,-0.007960612067346995
2026-05-19,AAPL,298.9700012207031,0.003793999787491842
2026-05-20,AAPL,302.25,0.0109709963070026
2026-05-21,AAPL,304.989990234375,0.009065310949131433
2026-05-22,AAPL,308.82000732421875,0.012557845216167651
2026-05-26,AAPL,308.3299865722656,-0.001586751960143129
2026-05-27,AAPL,310.8500061035156,0.008173125031610828
2026-05-28,AAPL,312.510009765625,0.005340207912225559
2026-05-29,AAPL,312.05999755859375,-0.001439992937726231
2026-06-01,AAPL,306.30999755859375,-0.018425943872925732
2026-06-02,AAPL,315.20001220703125,0.029022933365852488
2026-06-03,AAPL,310.260009765625,-0.015672595971098935
2026-06-04,AAPL,311.2300109863281,0.0031264139436979477
2026-05-01,AMZN,268.260009765625,
2026-05-04,AMZN,272.04998779296875,0.014128002271583506
2026-05-05,AMZN,273.54998779296875,0.005513692583370089
2026-05-06,AMZN,274.989990234375,0.005264129064761924
2026-05-07,AMZN,271.1700134277344,-0.01389133038400725
2026-05-08,AMZN,272.67999267578125,0.0055683857848436435
2026-05-11,AMZN,268.989990234375,-0.013532354923427414
2026-05-12,AMZN,265.82000732421875,-0.011784761609137218
2026-05-13,AMZN,270.1300048828125,0.016213969753363422
2026-05-14,AMZN,267.2200012207031,-0.010772604336833247
2026-05-15,AMZN,264.1400146484375,-0.011526033074604314
2026-05-18,AMZN,264.8599853515625,0.0027257161474880665
2026-05-19,AMZN,259.3399963378906,-0.020841158796957915
2026-05-20,AMZN,265.010009765625,0.021863243262898013
2026-05-21,AMZN,268.4599914550781,0.01301830709151064
2026-05-22,AMZN,266.32000732421875,-0.007971333528174807
2026-05-26,AMZN,265.2900085449219,-0.003867523096163561
2026-05-27,AMZN,271.8500061035156,0.024727646527565872
2026-05-28,AMZN,274.0,0.007908750591183455
2026-05-29,AMZN,270.6400146484375,-0.01226272026117703
2026-06-01,AMZN,261.260009765625,-0.03465860321873382
2026-06-02,AMZN,256.5199890136719,-0.0181429249589532
2026-06-03,AMZN,250.02000427246094,-0.02533909644314114
2026-06-04,AMZN,253.7899932861328,0.01507874949703436
2026-05-01,ASML,1427.02001953125,
2026-05-04,ASML,1386.2099609375,-0.028598098159236307
2026-05-05,ASML,1442.9200439453125,0.040910168449128204
2026-05-06,ASML,1544.739990234375,0.07056520332939642
2026-05-07,ASML,1516.5999755859375,-0.018216667417387145
2026-05-08,ASML,1592.02001953125,0.04972968822327317
2026-05-11,ASML,1565.81005859375,-0.016463336274638807
2026-05-12,ASML,1520.93994140625,-0.028656168697624662
2026-05-13,ASML,1581.5799560546875,0.03987009151220677
2026-05-14,ASML,1584.510009765625,0.0018526118137249803
2026-05-15,ASML,1501.81005859375,-0.052192760324756615
2026-05-18,ASML,1472.3900146484375,-0.01958972359850919
2026-05-19,ASML,1459.43994140625,-0.00879527374768263
2026-05-20,ASML,1550.1300048828125,0.06214031897001382
2026-05-21,ASML,1592.0,0.02701063458245412
2026-05-22,ASML,1632.9000244140625,0.025690970109335742
2026-05-26,ASML,1632.030029296875,-0.0005327914166084469
2026-05-27,ASML,1597.8699951171875,-0.02093100835552919
2026-05-28,ASML,1605.77001953125,0.004944097103145806
2026-05-29,ASML,1612.760009765625,0.0043530456723905875
2026-06-01,ASML,1628.5699462890625,0.009803031094338222
2026-06-02,ASML,1705.3699951171875,0.04715796764095104
2026-06-03,ASML,1726.3599853515625,0.012308173765501529
2026-06-04,ASML,1757.469970703125,0.01802056675058261
2026-05-01,AVGO,421.2799987792969,
2026-05-04,AVGO,416.5,-0.011346370093874403
2026-05-05,AVGO,427.3599853515625,0.026074394601590667
2026-05-06,AVGO,425.44000244140625,-0.004492659528188669
2026-05-07,AVGO,412.55999755859375,-0.03027455060384543
